ID,Title,GrantType,ImageURL,Grantee0Name,Grantee0Inst,Grantee1Name,Grantee1Inst,Grantee2Name,Grantee2Inst,GrantYear,GrantMentor,GrantArea0,GrantArea1,GrantArea2,GrantAmount,Content0Header,Content0Content,Content1Header,Content1Content,Content2Header,Content2Content
3623,Assessing Motivations for Attempted Suicide,pilot,http://afsp.org/wp-content/uploads/2016/01/Klonsky-David-2013.jpg,"E. David Klonsky, Ph.D.",University of British Columbia,NULL,NULL,NULL,NULL,2014,NULL,"Psychosocial Studies",NULL,NULL,30000,Inside the Research,"<strong>Bio:</strong> Dr. Klonsky received his Ph.D. in clinical psychology from the University of Virginia in 2005. He is currently an Associate Professor in the Department of Psychology at the University of British Columbia.
<strong>Research Category:</strong> Psychosocial
<strong>Abstract:</strong> Despite ongoing prevention efforts, suicide rates have continued to increase in the United States and worldwide. Dr. Klonsky suggests that improved knowledge about motivations for suicide would greatly enhance conceptual models of suicide, and translate directly into more effective prevention and treatment. In order to examine motivations for suicidal behavior, 100 adults hospitalized on a psychiatric unit after having made a suicide attempt in the previous seven days will complete a self-report measure and participate in an interview. The goal is to demonstrate the reliability and validity of the Inventory of Motivations for Suicide Attempts (IMSA), a scale which assesses the motivations for suicide attempt. This measure includes scales for hopelessness, psychache, escape, burdensomeness, lack of belongingness, fearlessness, help-seeking, interpersonal influence, problem-solving, and impulsivity. The IMSA will be administered to every participant in order to gather information on what motivated them to attempt suicide. Additional instruments to measure of suicidal ideation and behavior, and coping strategies for managing stress will be administered. By articulating motivations for suicidal behavior we will gain information about how to best assess risk for suicide and potentially develop targeted interventions.
<strong>Impact:</strong>  Improved risk-assessment, case conceptualization, and treatment planning for suicidal individuals.",NULL,NULL,NULL,NULL
17481,Assessment of Suicide and Self-Injury to Enhance School Safety,"Linked Standard Research Grant",http://afsp.org/wp-content/uploads/2017/09/adrian-thompson-lyon.jpg,"Molly Adrian, Ph.D.",University of Washington,"Paul Thompson, Ph.D.",Dartmouth College,"Aaron Lyon, Ph.D.",University of Washington,2017,NULL,"Community Intervention Studies",NULL,NULL,187025,Inside the Research,"<b>Question: </b>Can student-generated social media be used to detect and monitor suicide risk?</span></p>
<b>Strategy: </b>Use machine learning to analyze social media data from 300 students to develop and test algorithms to identify teens at risk in a school setting.</span></p>
<b>Impact: </b>Improved identification of adolescents at risk for suicide. </span></p>",NULL,NULL,NULL,NULL
3627,Attentional Fixation as a Moderator of the Relation between Suicidal Ideation and Suicide Attempts,"Young Investigator Grant",http://afsp.org/wp-content/uploads/2016/01/Adler-Abby-2013.jpg,"Abby Adler, Ph.D.",University of Pennsylvania School of Medicine,NULL,NULL,NULL,NULL,2014,"Gregory Brown, Ph.D., University of Pennsylvania School of Medicine","Psychosocial Studies",NULL,NULL,85000,Inside the Research,"<strong>Bio:</strong> Dr. Adler received her Ph.D. in clinical psychology from Ohio State University in 2012. She is currently NRSA "Postdoctoral Research Fellowship Fellow at the Aaron T. Beck Psychopathology Research Center of the University of Pennsylvania.
<strong>Research Categories:</strong> Psychosocial - assessment and risk
<strong> </strong><strong>Abstract: </strong><span style=""line-height: 1.5;"">Suicidal ideation is a predictor of suicidal behavior and yet most people with suicidal ideation never make a suicide attempt. Dr. Adler examines how suicidal ideation shifts to suicidal behavior for some people. The study tests a key feature of the cognitive model of suicidal behavior, specifically that suicide attempts occur when suicidal ideation interacts with an attentional fixation on suicide, thus intensifying suicidal ideation until it reaches a threshold of intolerable emotional pain. Attentional fixation is a cognitive disturbance characterized by difficulty reasoning and difficulty disengaging attention away from suicide-relevant cues and can ultimately lead to a preoccupation with suicide as a solution to one’s problems. A total of 114 people will participate in the study: 57 being seen in the emergency department after attempting suicide; and 57 being seen in the emergency department for psychiatric reasons including suicidal ideation without a suicide attempt. Participants will complete an interview and a self-report measure of their suicidal thoughts, impulsivity, problem-solving behaviors, depression, anxiety and alcohol use. The contributions and differences among these variables will be compared between groups. Understanding how suicidal ideation shifts to suicidal behavior is critical for suicide prevention efforts.</span>
<strong>Impact: </strong>Interventions aimed at reducing attentional fixation, improving problem solving and shifting focus away from suicide.",NULL,NULL,NULL,NULL
6389,Autopsy Studies of Potential Targets of In Vivo Imaging for Suicide Risk,distinguished,http://afsp.org/wp-content/uploads/2016/04/Dwork-Andrew-2013.jpg,"Andrew Dwork, M.D.",Research Foundation for Mental Hygiene,NULL,NULL,NULL,NULL,2014,NULL,"Neurobiological Studies",NULL,NULL,100000,Inside the Research,"<strong>Question:</strong> Can genes cause unique changes in the brain that contribute to suicide?
<strong>Strategy:</strong> Using an innovative brain imaging technique, study genetically produced changes in the areas of the brain associated with suicide.
<strong>Impact:</strong> May lead to ability to determine suicide risk.",NULL,NULL,NULL,NULL
18643,"Behavioral Mechanisms, Prediction, and Treatment of Short-Term Suicide Risk","Focus Grant",http://afsp.org/wp-content/uploads/2017/10/Swann-Alan-2-2016.jpg,"Alan Swann, M.D.",Baylor College of Medicine,NULL,NULL,NULL,NULL,2017,NULL,"Neurobiological Studies",NULL,NULL,975000,Inside the Research,"<strong>Focus: </strong>Short-Term Risk
<strong>Question: </strong>Can we better understand important contributors to suicide?
<strong>Strategy: </strong>A matched sample of people with and without a recent potentially lethal suicide attempt will be compared on behavioral and neurological risk factors, and the effects of lithium on these measures will be tested.
<strong>Impact: </strong>Improved understanding of suicide and the effects of lithium on these measures will be tested.",NULL,NULL,NULL,NULL
2558,Being Left Behind and Suicide among Rural Chinese Elderly: A Psychological Autopsy Case Control Study,"Standard Research Grant",http://afsp.org/wp-content/uploads/2016/02/Zhou-Liang.jpg,"Liang Zhou, M.D., Ph.D.","School of Public Health, Central South University",NULL,NULL,NULL,NULL,2013,NULL,"Psychosocial Studies",NULL,NULL,90000,Inside the Research,"<strong>Bio:</strong> Dr. Zhou received his medical degree from Hunan Medical School in 1998 and his doctorate from Xiangya Medical School, Central South University in China in 2003. He is currently an Adjunct Senior Instructor in the Department of Psychiatry at the University of Rochester in New York and a Professor of Social Medicine at the Xiangya Medical School, Central South University.
<strong>Research Category:</strong> Psychosocial
<strong>Abstract: </strong>The suicide rate of elderly persons is the highest among all age groups in China, as in most other countries. There have been no psychological autopsy studies in this population in China to help understand the risks. With dramatic urbanization in the past few decades, a lot of elderly individuals in rural China are left behind because their grown-up children move to work and live in cities. Using a case-control psychological autopsy study, Dr. Zhou will examine the relationship between socio-economic transition in rural China and suicide among elderly.  He will examine whether loneliness, lower social support, and life stress may be related to being left behind and act as mediating factors in this relationship after controlling for other risk factors.
One hundred people from three sampling rural counties in Hunan province, China who died by suicide will be compared with 100 living elderly people matched by gender, age, and resident county. Measures of being left behind, mental health, depression, loneliness, life events, social support, social economic status, physical illness and disability, previous suicide attempt, family history of suicide, access to lethal pesticides, and demographic characteristics will be administered to two informants for to the person being described. The first informant will always be a family member (i.e., a spouse or adult child); the second informant will always be a friend, a neighbor, or someone who knows him/her well. Then two face-to-face interviews will be conducted between two to six months after the suicide death with the goal of obtaining information about suicide in the elderly in China.
<strong>Impact: </strong>Better understanding the risk factors of rural elderly suicide in China to inform development of suicide prevention programs.",NULL,NULL,NULL,NULL
11581,Blood-Brain Barrier in Suicide,"Postdoctoral Research Fellowship,http://afsp.org/wp-content/uploads/2016/11/Schnieder-Tatiana-2015.jpg,"Tatiana Schnieder, Ph.D.",Columbia University,NULL,NULL,NULL,NULL,2016,"Andrew Dwork, M.D., Columbia University","Neurobiological Studies","Genetic Studies",NULL,104000,Inside the Research,"<strong>Question:</strong> Is the blood-brain barrier compromised in suicide?</span></p>
<strong>Strategy:</strong> Compare features of the blood-brain barrier that protects the brain in people who died by suicide with those with psychiatric disorders and nonpsychiatric controls, none of whom died by suicide.</span></p>
<strong>Impact:</strong> A marker of suicide risk that can be observed with conventional imaging techniques.</span></p>",NULL,NULL,NULL,NULL
18629,Brain Connectivity Networks and Predictors of Rapid Improvement in Suicidal Ideation Among Veterans,"Young Investigator Grant",http://afsp.org/wp-content/uploads/2017/10/Averill-Lynnette-2016.jpg,"Lynnette Averill, Ph.D.",National Center for PTSD / Yale University,NULL,NULL,NULL,NULL,2017,"Gerard Sanacora, M.D., Ph.D., Yale University","Neurobiological Studies","Clinical Treatment Studies",NULL,85000,Inside the Research,"<strong>Question: </strong>How does ketamine reduce suicidal ideation among veterans with PTSD?
<strong>Strategy: </strong>Veterans with PTSD and suicidal ideation will be treated with ketamine. A new method of brain imaging, Intrinsic Connectivity Distribution Analysis, will be used to measure brain changes.
<strong>Impact: </strong>A novel approach to treating PTSD and reducing suicidal ideation and risk.",NULL,NULL,NULL,NULL
29569,Brain Proteomics to Understand Suicidal Behavior Biosignatures,"Standard Research Grant",http://afsp.org/wp-content/uploads/2018/11/Boldrini-Maura-2017.jpg,"Maura Boldrini, M.D., Ph.D.",Research Foundation for Mental Hygiene,NULL,NULL,NULL,NULL,2018,NULL,"Neurobiological Studies",NULL,NULL,100000,Inside the Research,"<strong>Question: </strong>Do increased proteome levels in specific regions of the hippocampus affect suicide risk in major depressive disorder?
<strong>Strategy: </strong>Proteomics is the study of the processes related to proteins. Proteins impact gene structure and function, which, in turn, have an impact on behavior. This study compares the proteomics in the brains of people with major depression who died either by suicide (n=10) or from other causes and nonpsychiatric controls (n=10). In particular, the study focuses on the anterior dentate gyrus, a brain area associated with suicide.
<strong>Impact:</strong> Identifying biomarkers and treatment targets for suicide reduction.",NULL,NULL,NULL,NULL
3633,Brief Alcohol Intervention for Adolescents Who Have Attempted Suicide,"Young Investigator Grant",http://afsp.org/wp-content/uploads/2016/01/OBrien-Kimberly-2013.jpg,"Kimberly O’Brien, Ph.D.",Simmons College,NULL,NULL,NULL,NULL,2014,"Anthony Spirito, Ph.D., Brown University","Psychosocial Studies","Clinical Treatment Studies",NULL,84984,Inside the Research,"<strong>Bio:</strong> Dr. O’Brien received her Ph.D. in social work from Boston College in 2011. She is currently a clinician in the Department of Emergency Psychiatry at Boston Children’s Hospital, Instructor in Psychiatry at Harvard Medical School, and Assistant Professor at Simmons College School of Social Work.
<strong>Research Categories:</strong> Psychosocial, clinical treatment
<strong>Abstract: </strong>Adolescents who have attempted suicide and also have an alcohol use disorder are at increased risk for a repeat suicide attempt. Given the significant role alcohol may play in suicide attempts, a careful assessment of and initial treatment for alcohol use by adolescents receiving inpatient psychiatric treatment is critical for reducing risk for future suicide attempts. Studies suggest that brief motivational interviewing (MI) interventions are helpful in reducing alcohol use among adolescents. Dr. O’Brien will conduct a randomized clinical trial to evaluate a brief motivational interviewing intervention that includes personalized feedback addressing alcohol use as a risk factor for continued suicidal ideation and attempts, and includes a family component to facilitate parent support of the adolescent. Fifty adolescents psychiatrically hospitalized for a suicide attempt who have a co-occurring alcohol use disorder will be randomized to receive either a brief MI intervention or treatment as usual. Feasibility and acceptability of the intervention will be assessed.   Data will be collected via questionnaires and in-person interviews at one and three month follow-up assessments to evaluate changes in suicidal thoughts and behaviors, as well as alcohol use and alcohol treatment outcomes. Dr. O’Brien expects that the treated group will have reduced frequency of alcohol use, increased likelihood of receiving alcohol treatment, and reduced suicidal ideation at follow-ups.
<strong>Impact:</strong> Reduced suicidal behavior among adolescents who have engaged in suicidal behavior and problematic alcohol use.",NULL,NULL,NULL,NULL
